code_module,code_presentation,id_student,assessments_submitted_cutoff,avg_assessment_score_cutoff,sum_weighted_score_cutoff,latest_submit_day_cutoff
AAA,2013J,142326,2,70.5,21.700000000000003,65
AAA,2013J,144801,2,62.5,18.900000000000002,56
AAA,2013J,145130,2,56.0,14.9,54
AAA,2013J,146188,2,52.5,15.8,61
AAA,2013J,147756,2,74.5,22.1,53
AAA,2013J,147793,1,52.0,5.2,32
AAA,2013J,148993,2,69.0,20.8,63
AAA,2013J,151358,2,51.0,15.000000000000002,52
AAA,2013J,155550,2,70.5,20.700000000000003,54
AAA,2013J,155854,2,80.5,24.0,53
AAA,2013J,155984,2,80.0,23.5,90
AAA,2013J,157568,2,80.0,24.1,66
AAA,2013J,159954,2,66.5,20.1,61
AAA,2013J,164259,2,70.0,19.800000000000004,53
AAA,2013J,167906,2,59.0,17.6,54
AAA,2013J,168936,2,77.5,23.400000000000002,54
AAA,2013J,172112,2,63.5,19.4,68
AAA,2013J,172797,2,57.0,16.8,53
AAA,2013J,174782,2,81.0,24.1,52
AAA,2013J,175392,2,79.5,23.3,53
AAA,2013J,175932,2,74.5,22.200000000000003,57
AAA,2013J,175991,2,39.5,10.700000000000001,116
AAA,2013J,180753,2,60.0,17.900000000000002,53
AAA,2013J,181316,1,76.0,7.6000000000000005,20
AAA,2013J,183096,2,55.0,16.3,57
AAA,2013J,183947,2,50.0,13.3,54
AAA,2013J,184271,2,63.5,18.9,53
AAA,2013J,185439,1,74.0,7.4,24
AAA,2013J,186149,2,83.0,24.7,68
AAA,2013J,187100,2,89.0,26.8,52
AAA,2013J,188278,1,76.0,7.6000000000000005,19
AAA,2013J,189879,2,80.5,24.6,60
AAA,2013J,192183,2,70.5,20.700000000000003,58
AAA,2013J,200860,2,63.5,18.5,53
AAA,2013J,202635,2,69.0,20.8,63
AAA,2013J,205350,2,67.0,19.3,54
AAA,2013J,205719,2,65.0,19.3,58
AAA,2013J,227499,2,83.5,25.0,53
AAA,2013J,227517,2,65.0,19.700000000000003,54
AAA,2013J,228082,2,63.0,19.400000000000002,54
AAA,2013J,228222,2,58.0,16.1,61
AAA,2013J,229179,2,66.0,20.0,54
AAA,2013J,229361,2,78.5,23.3,53
AAA,2013J,231554,2,71.0,20.4,54
AAA,2013J,235507,1,65.0,6.5,18
AAA,2013J,236284,2,84.5,25.3,54
AAA,2013J,238007,2,78.0,22.900000000000002,54
AAA,2013J,240712,2,81.5,24.4,54
AAA,2013J,240884,2,64.0,18.200000000000003,53
AAA,2013J,241649,2,75.5,21.700000000000003,42
AAA,2013J,241729,2,53.0,16.1,64
AAA,2013J,242793,2,70.5,21.6,53
AAA,2013J,246834,2,58.0,17.200000000000003,54
AAA,2013J,248270,2,78.0,23.5,61
AAA,2013J,255548,2,79.5,23.4,61
AAA,2013J,256815,2,73.0,22.1,54
AAA,2013J,258392,2,57.5,17.200000000000003,60
AAA,2013J,258894,2,61.5,18.8,67
AAA,2013J,260355,2,57.5,17.5,59
AAA,2013J,262011,2,69.5,21.8,54
AAA,2013J,262934,2,80.5,24.1,53
AAA,2013J,268073,2,71.0,22.0,50
AAA,2013J,268733,1,51.0,5.1000000000000005,29
AAA,2013J,271251,2,71.0,20.4,54
AAA,2013J,277880,2,67.5,20.0,72
AAA,2013J,279572,2,80.5,24.300000000000004,54
AAA,2013J,281022,2,71.0,21.4,58
AAA,2013J,281250,2,60.0,17.700000000000003,52
AAA,2013J,282821,2,57.0,16.700000000000003,63
AAA,2013J,286488,2,64.0,20.1,54
AAA,2013J,287548,2,69.5,20.9,53
AAA,2013J,290201,2,73.5,21.6,61
AAA,2013J,290757,2,74.5,22.3,53
AAA,2013J,291334,2,84.5,25.3,60
AAA,2013J,293699,1,55.0,11.0,54
AAA,2013J,294570,2,77.0,23.6,50
AAA,2013J,294594,2,57.0,16.700000000000003,53
AAA,2013J,295741,2,45.0,14.200000000000001,53
AAA,2013J,296332,2,93.0,28.1,52
AAA,2013J,298696,2,73.5,21.7,68
AAA,2013J,300398,2,81.0,24.200000000000003,48
AAA,2013J,302302,2,58.5,17.6,59
AAA,2013J,305152,1,64.0,6.4,19
AAA,2013J,305386,2,75.5,22.700000000000003,54
AAA,2013J,306107,2,59.5,16.5,54
AAA,2013J,306466,2,79.5,23.700000000000003,53
AAA,2013J,306897,2,72.5,21.8,50
AAA,2013J,307061,2,79.0,23.400000000000002,54
AAA,2013J,307866,2,49.5,15.100000000000001,54
AAA,2013J,311917,2,50.5,14.700000000000001,51
AAA,2013J,312537,2,89.0,26.8,54
AAA,2013J,312782,2,71.5,19.700000000000003,53
AAA,2013J,318933,2,66.5,19.6,53
AAA,2013J,319047,2,76.0,22.7,54
AAA,2013J,321942,2,81.0,24.200000000000003,53
AAA,2013J,324002,2,77.0,22.3,53
AAA,2013J,324084,2,46.5,12.8,59
AAA,2013J,324282,2,48.0,15.400000000000002,53
AAA,2013J,331358,1,84.0,8.4,18
AAA,2013J,332789,2,73.0,22.3,54
AAA,2013J,333059,2,71.0,21.2,54
AAA,2013J,333323,2,77.5,23.3,54
AAA,2013J,334259,1,57.0,5.7,19
AAA,2013J,334333,1,36.0,3.6,18
AAA,2013J,335764,2,86.5,26.0,59
AAA,2013J,336207,2,69.0,20.5,51
AAA,2013J,339972,2,56.0,15.600000000000001,52
AAA,2013J,341872,2,64.0,19.200000000000003,92
AAA,2013J,342007,1,75.0,7.5,20
AAA,2013J,342514,2,71.0,21.6,51
AAA,2013J,342972,2,59.5,17.6,58
AAA,2013J,343446,2,75.5,22.8,59
AAA,2013J,344282,2,57.0,16.700000000000003,53
AAA,2013J,345068,2,72.5,22.0,61
AAA,2013J,345357,2,72.5,21.5,53
AAA,2013J,346025,2,80.0,23.5,52
AAA,2013J,350188,2,75.0,22.5,54
AAA,2013J,357668,2,56.0,17.5,54
AAA,2013J,364177,2,64.5,19.4,53
AAA,2013J,365244,2,58.5,17.0,54
AAA,2013J,365642,2,65.5,19.400000000000002,53
AAA,2013J,366483,2,79.0,22.8,52
AAA,2013J,368194,2,51.5,15.200000000000001,69
AAA,2013J,368824,2,64.5,19.700000000000003,53
AAA,2013J,368963,2,58.5,17.6,53
AAA,2013J,376439,2,81.5,24.0,54
AAA,2013J,376581,2,73.0,20.6,61
AAA,2013J,380953,2,65.5,18.900000000000002,53
AAA,2013J,383254,2,71.5,21.200000000000003,51
AAA,2013J,386924,2,62.0,18.9,53
AAA,2013J,386952,2,65.0,19.3,57
AAA,2013J,388722,2,59.5,17.3,53
AAA,2013J,388885,2,63.0,20.1,54
AAA,2013J,390890,2,77.5,23.5,57
AAA,2013J,392756,2,39.0,10.3,54
AAA,2013J,392931,2,64.0,19.1,54
AAA,2013J,393207,2,71.0,21.6,53
AAA,2013J,396872,2,62.5,18.700000000000003,54
AAA,2013J,398552,2,51.5,15.200000000000001,54
AAA,2013J,401869,2,58.5,17.9,54
AAA,2013J,402470,2,77.0,22.8,53
AAA,2013J,404804,2,48.5,14.2,50
AAA,2013J,405088,2,78.5,22.9,54
AAA,2013J,414117,2,76.5,22.5,54
AAA,2013J,415969,2,59.5,17.1,60
AAA,2013J,420087,2,78.0,23.200000000000003,55
AAA,2013J,429958,2,57.5,17.1,54
AAA,2013J,441018,2,57.0,17.4,53
AAA,2013J,441888,2,69.0,20.200000000000003,53
AAA,2013J,442442,2,40.5,12.3,54
AAA,2013J,444677,2,90.0,26.9,54
AAA,2013J,470588,1,86.0,8.6,19
AAA,2013J,489455,2,71.0,21.0,51
AAA,2013J,495284,2,66.0,19.1,53
AAA,2013J,498857,2,72.5,21.3,54
AAA,2013J,508818,2,75.5,22.900000000000002,54
AAA,2013J,512460,2,68.5,21.5,51
AAA,2013J,544103,2,81.0,24.200000000000003,53
AAA,2013J,550383,2,59.0,15.900000000000002,54
AAA,2013J,564450,2,58.5,17.0,53
AAA,2013J,568601,2,81.5,24.1,60
AAA,2013J,572652,2,72.0,21.700000000000003,54
AAA,2013J,580389,2,75.0,22.5,54
AAA,2013J,581129,1,15.0,3.0,54
AAA,2013J,588775,2,83.0,24.7,52
AAA,2013J,591774,2,81.5,23.8,54
AAA,2013J,603861,2,58.5,17.3,59
AAA,2013J,606143,2,66.0,18.6,54
AAA,2013J,704156,2,67.5,20.3,56
AAA,2013J,705379,2,82.0,24.700000000000003,53
AAA,2013J,721259,1,,0.0,22
AAA,2013J,749412,2,72.0,20.5,51
AAA,2013J,760729,2,80.0,24.0,52
AAA,2013J,905042,2,68.5,21.0,53
AAA,2013J,949618,2,63.0,18.900000000000002,53
AAA,2013J,958987,2,78.0,23.400000000000002,54
AAA,2013J,968578,2,69.5,21.6,54
AAA,2013J,969076,2,72.0,20.6,53
AAA,2013J,971027,2,72.0,21.200000000000003,53
AAA,2013J,978739,2,58.5,17.5,54
AAA,2013J,1035023,2,69.0,20.3,54
AAA,2013J,1105478,2,87.5,26.0,54
AAA,2013J,1352868,2,65.5,19.6,64
AAA,2013J,1401935,2,35.0,9.5,61
AAA,2013J,1402638,2,72.5,21.3,70
AAA,2013J,1414443,2,59.0,17.8,106
AAA,2013J,1465690,2,80.5,23.700000000000003,54
AAA,2013J,1472925,2,57.5,16.900000000000002,53
AAA,2013J,1488959,2,65.5,19.5,57
AAA,2013J,1518989,2,77.5,23.200000000000003,54
AAA,2013J,1618738,2,83.5,25.0,54
AAA,2013J,1620151,1,85.0,8.5,19
AAA,2013J,1626710,2,83.5,25.200000000000003,53
AAA,2013J,1640609,2,84.5,25.5,53
AAA,2013J,1686521,1,68.0,6.800000000000001,17
AAA,2013J,1729319,2,79.0,23.6,54
AAA,2013J,1746134,2,85.0,25.700000000000003,53
AAA,2013J,1758449,2,61.0,17.9,54
AAA,2013J,1765788,2,60.0,18.3,59
AAA,2013J,1801229,2,77.5,23.1,61
AAA,2013J,1801641,2,73.0,22.0,53
AAA,2013J,1847830,2,71.5,20.3,53
AAA,2013J,1860318,2,64.5,20.1,54
AAA,2013J,1889511,2,70.5,21.0,54
AAA,2013J,1889577,2,70.5,21.0,58
AAA,2013J,1894188,2,71.5,21.0,51
AAA,2013J,1938355,2,66.0,18.200000000000003,48
AAA,2013J,1942396,2,50.0,15.0,62
AAA,2013J,1970390,2,84.0,25.8,64
AAA,2013J,1976139,2,75.5,22.700000000000003,53
AAA,2013J,2011876,2,75.0,22.1,54
AAA,2013J,2012966,2,75.5,22.700000000000003,53
AAA,2013J,2051699,2,66.5,20.400000000000002,55
AAA,2013J,2062879,2,55.5,16.6,54
AAA,2013J,2065691,2,35.0,11.0,48
AAA,2013J,2073016,2,56.5,16.6,54
AAA,2013J,2080474,2,76.0,21.6,54
AAA,2013J,2083877,2,68.0,20.0,61
AAA,2013J,2084066,2,62.5,18.5,62
AAA,2013J,2104505,2,74.5,21.8,54
AAA,2013J,2122180,2,83.0,24.6,61
AAA,2013J,2139353,2,63.5,18.9,59
AAA,2013J,2143752,2,53.0,16.200000000000003,53
AAA,2013J,2146792,2,64.0,18.8,54
AAA,2013J,2153153,2,64.0,19.5,53
AAA,2013J,2155014,2,70.0,20.400000000000002,62
AAA,2013J,2164705,1,70.0,7.0,18
AAA,2013J,2171627,2,69.0,20.5,50
AAA,2013J,2182846,2,64.0,19.1,51
AAA,2013J,2194100,2,62.5,18.6,52
AAA,2013J,2197016,2,75.0,22.5,51
AAA,2013J,2208424,2,65.0,18.700000000000003,53
AAA,2013J,2229865,2,74.5,22.5,53
AAA,2013J,2255601,2,54.5,14.700000000000001,58
AAA,2013J,2268379,2,79.5,23.8,61
AAA,2013J,2278464,2,55.0,16.0,68
AAA,2013J,2293923,2,65.5,19.0,54
AAA,2013J,2312620,2,31.0,11.3,54
AAA,2013J,2329342,2,55.0,16.400000000000002,69
AAA,2013J,2339528,2,75.0,22.400000000000002,54
AAA,2013J,2342426,2,68.5,20.4,54
AAA,2013J,2344901,2,56.0,15.7,54
AAA,2013J,2358056,2,58.0,17.6,54
AAA,2013J,2358969,1,68.0,6.800000000000001,19
AAA,2013J,2364471,2,87.5,26.0,62
AAA,2013J,2367155,2,74.0,23.3,58
AAA,2013J,2369266,2,50.0,15.0,53
AAA,2013J,2376496,2,68.0,20.8,54
AAA,2013J,2391984,2,74.5,22.3,57
AAA,2013J,2411661,2,56.0,16.9,53
AAA,2013J,2411778,2,80.0,24.3,52
AAA,2013J,2412002,2,79.0,23.0,67
AAA,2013J,2412967,2,78.5,23.4,54
AAA,2013J,2429854,1,51.0,5.1000000000000005,24
AAA,2013J,2437837,2,72.0,22.1,53
AAA,2013J,2449878,2,63.0,18.6,58
AAA,2013J,2456480,2,37.0,10.8,54
AAA,2013J,2457256,2,60.0,18.0,59
AAA,2013J,2458355,2,87.0,26.0,54
AAA,2013J,2460080,2,85.5,25.7,62
AAA,2013J,2461190,2,56.0,16.2,56
AAA,2013J,2469673,1,51.0,10.200000000000001,53
AAA,2013J,2470694,1,67.0,13.4,55
AAA,2013J,2479954,2,80.0,24.3,58
AAA,2013J,2481901,2,77.0,22.6,53
AAA,2013J,2482700,2,56.5,16.3,57
AAA,2013J,2486127,2,68.5,20.4,52
AAA,2013J,2498700,2,75.0,22.6,54
AAA,2013J,2516503,2,78.5,23.200000000000003,54
AAA,2013J,2518069,2,74.5,22.4,52
AAA,2013J,2521459,2,56.5,16.3,62
AAA,2013J,2523736,2,61.0,18.6,63
AAA,2013J,2529279,2,75.5,23.1,49
AAA,2013J,2532302,2,70.5,21.3,47
AAA,2013J,2536991,2,72.0,21.6,54
AAA,2013J,2550279,2,60.5,18.0,54
AAA,2013J,2551220,2,65.5,18.5,62
AAA,2013J,2552472,2,53.5,15.2,75
AAA,2013J,2555340,2,84.5,24.4,52
AAA,2013J,2557283,2,73.5,21.9,53
AAA,2013J,2559575,2,59.0,18.200000000000003,53
AAA,2013J,2562034,2,66.0,19.4,62
AAA,2013J,2566163,2,71.0,19.700000000000003,53
AAA,2013J,2566592,2,71.5,20.0,54
AAA,2013J,2574528,2,67.5,20.700000000000003,54
AAA,2013J,2574583,2,68.5,20.8,57
AAA,2013J,2576122,1,64.0,6.4,18
AAA,2013J,2578995,2,79.5,24.3,54
AAA,2013J,2586560,2,70.0,20.5,53
AAA,2013J,2594139,2,80.0,23.300000000000004,64
AAA,2013J,2598871,2,66.0,19.8,52
AAA,2013J,2599352,2,77.5,23.0,54
AAA,2013J,2600688,2,68.0,20.8,57
AAA,2013J,2606098,2,70.0,21.0,53
AAA,2013J,2613116,2,69.0,20.8,52
AAA,2013J,2617002,2,60.0,17.3,60
AAA,2013J,2639449,2,67.5,20.3,55
AAA,2013J,2639540,2,77.0,23.200000000000003,54
AAA,2013J,2639641,2,62.5,18.400000000000002,54
AAA,2013J,2641155,2,79.5,24.0,53
AAA,2013J,2643002,2,56.5,17.700000000000003,60
AAA,2013J,2645733,2,84.0,24.9,54
AAA,2013J,2649826,2,78.5,23.900000000000002,48
AAA,2013J,2650282,2,83.5,25.1,55
AAA,2013J,2664024,2,53.0,16.400000000000002,61
AAA,2013J,2666246,2,76.0,22.8,53
AAA,2013J,2669816,2,67.5,20.3,53
AAA,2013J,2671132,2,64.0,19.700000000000003,54
AAA,2013J,2676809,2,41.0,11.8,95
AAA,2013J,2678643,2,81.5,24.3,55
AAA,2013J,2685865,2,75.5,22.8,54
AAA,2013J,2688067,2,66.0,19.4,54
AAA,2013J,2689958,2,82.0,24.200000000000003,54
AAA,2013J,2691206,2,85.5,25.6,54
AAA,2013J,2691244,1,57.0,11.4,61
AAA,2013J,2694424,2,81.5,23.700000000000003,53
AAA,2013J,2698257,2,61.0,18.6,54
AAA,2014J,6516,2,54.0,15.600000000000001,51
AAA,2014J,24734,2,39.5,11.700000000000001,64
AAA,2014J,26192,2,85.0,25.300000000000004,53
AAA,2014J,28061,2,79.5,24.0,60
AAA,2014J,31600,2,49.5,15.100000000000001,53
AAA,2014J,46844,2,59.5,18.200000000000003,54
AAA,2014J,52765,2,68.5,20.7,54
AAA,2014J,55104,2,69.5,20.3,56
AAA,2014J,58071,2,83.5,24.700000000000003,59
AAA,2014J,58316,2,77.5,23.200000000000003,69
AAA,2014J,62487,2,77.0,23.0,61
AAA,2014J,63165,2,48.5,14.4,53
AAA,2014J,65002,2,67.0,20.200000000000003,-1
AAA,2014J,70011,2,75.0,22.6,54
AAA,2014J,75255,2,76.5,23.0,56
AAA,2014J,79403,2,66.0,19.2,53
AAA,2014J,85092,1,58.0,5.800000000000001,22
AAA,2014J,85144,2,76.5,23.8,54
AAA,2014J,85302,2,71.5,21.0,56
AAA,2014J,87431,2,54.0,16.6,75
AAA,2014J,94961,2,70.5,20.8,51
AAA,2014J,95755,2,45.0,12.200000000000001,69
AAA,2014J,101116,2,79.0,23.3,54
AAA,2014J,107489,2,88.5,26.5,53
AAA,2014J,108872,2,59.5,17.6,53
AAA,2014J,109155,2,68.5,20.5,54
AAA,2014J,117818,2,63.0,18.700000000000003,53
AAA,2014J,119902,2,71.0,20.9,57
AAA,2014J,121349,2,69.0,20.3,54
AAA,2014J,124064,2,84.5,25.200000000000003,54
AAA,2014J,125018,2,66.5,19.900000000000002,53
AAA,2014J,129955,2,83.5,24.900000000000002,-1
AAA,2014J,130034,2,82.5,25.200000000000003,52
AAA,2014J,130547,2,57.5,16.700000000000003,58
AAA,2014J,130636,2,58.5,17.7,54
AAA,2014J,131390,2,77.0,22.700000000000003,54
AAA,2014J,133816,2,61.0,18.0,53
AAA,2014J,133922,2,81.5,24.8,61
AAA,2014J,135400,2,52.0,15.100000000000001,62
AAA,2014J,135471,2,82.0,24.200000000000003,51
AAA,2014J,139033,2,57.0,17.3,53
AAA,2014J,141377,2,58.5,16.9,52
AAA,2014J,141506,1,75.0,7.5,19
AAA,2014J,146503,2,65.5,19.5,53
AAA,2014J,147756,2,50.5,13.3,61
AAA,2014J,148993,2,85.5,25.6,59
AAA,2014J,149741,2,66.0,19.4,53
AAA,2014J,149962,2,65.5,19.5,54
AAA,2014J,151587,2,64.5,18.5,69
AAA,2014J,152668,1,71.0,7.1000000000000005,19
AAA,2014J,155984,2,71.5,21.900000000000002,55
AAA,2014J,158707,2,72.5,21.5,53
AAA,2014J,159954,2,66.5,20.1,-1
AAA,2014J,164944,2,62.0,18.9,53
AAA,2014J,165226,1,77.0,7.7,19
AAA,2014J,167961,2,79.0,22.900000000000002,54
AAA,2014J,174024,2,58.5,17.9,53
AAA,2014J,174094,2,74.0,22.400000000000002,53
AAA,2014J,174745,2,62.0,19.200000000000003,51
AAA,2014J,175447,2,69.5,21.3,52
AAA,2014J,175772,1,85.0,8.5,22
AAA,2014J,183057,2,67.0,20.6,75
AAA,2014J,185350,2,63.5,17.9,68
AAA,2014J,188278,2,76.0,22.5,54
AAA,2014J,199636,2,77.0,22.0,53
AAA,2014J,199897,2,80.0,24.3,66
AAA,2014J,200804,2,71.0,22.0,54
AAA,2014J,205494,2,70.0,19.800000000000004,45
AAA,2014J,228021,2,86.5,25.8,54
AAA,2014J,228383,2,73.0,21.6,61
AAA,2014J,232307,2,69.0,19.8,53
AAA,2014J,235068,2,57.5,17.200000000000003,54
AAA,2014J,235507,2,46.0,12.2,54
AAA,2014J,236875,2,43.5,13.2,61
AAA,2014J,237274,2,70.5,21.200000000000003,52
AAA,2014J,243510,2,41.5,12.0,53
AAA,2014J,244246,2,58.5,16.9,53
AAA,2014J,248581,2,85.0,25.0,53
AAA,2014J,252073,2,52.5,15.5,54
AAA,2014J,254625,2,84.5,25.200000000000003,59
AAA,2014J,258587,2,80.5,24.800000000000004,52
AAA,2014J,260623,2,70.5,21.3,54
AAA,2014J,263251,2,76.5,23.8,54
AAA,2014J,263543,2,84.0,25.5,53
AAA,2014J,263952,2,86.0,26.200000000000003,58
AAA,2014J,266524,2,48.0,14.600000000000001,69
AAA,2014J,273346,2,79.5,23.700000000000003,53
AAA,2014J,274947,2,64.0,17.400000000000002,54
AAA,2014J,275674,2,45.0,13.0,54
AAA,2014J,275792,2,71.5,21.700000000000003,51
AAA,2014J,277123,2,52.5,15.200000000000001,53
AAA,2014J,277880,2,67.5,20.0,-1
AAA,2014J,281077,2,73.0,21.8,67
AAA,2014J,281636,2,80.5,23.5,53
AAA,2014J,285315,2,86.5,26.0,54
AAA,2014J,287040,2,73.0,22.200000000000003,51
AAA,2014J,287204,2,68.5,20.2,54
AAA,2014J,287210,2,75.5,22.900000000000002,38
AAA,2014J,289449,2,78.0,23.400000000000002,52
AAA,2014J,290164,2,70.5,21.5,57
AAA,2014J,292525,2,84.0,25.200000000000003,54
AAA,2014J,292775,2,81.5,25.1,66
AAA,2014J,293824,2,58.5,16.1,53
AAA,2014J,294496,2,82.0,24.9,84
AAA,2014J,294655,2,78.0,23.7,74
AAA,2014J,295060,2,64.0,19.0,61
AAA,2014J,295075,2,61.0,17.7,69
AAA,2014J,296424,2,65.5,19.700000000000003,53
AAA,2014J,298034,2,75.0,23.200000000000003,53
AAA,2014J,298838,2,75.5,23.400000000000002,54
AAA,2014J,301967,2,53.5,16.3,53
AAA,2014J,302476,2,85.0,25.800000000000004,52
AAA,2014J,303521,2,80.5,23.900000000000002,54
AAA,2014J,303985,2,67.5,20.3,54
AAA,2014J,304465,2,74.0,22.0,53
AAA,2014J,306646,2,55.5,16.6,53
AAA,2014J,309142,2,67.5,20.200000000000003,59
AAA,2014J,310412,2,69.0,21.0,54
AAA,2014J,311235,2,73.5,22.1,54
AAA,2014J,313937,2,78.0,23.1,54
AAA,2014J,315076,2,68.0,19.1,68
AAA,2014J,315744,2,78.5,23.3,57
AAA,2014J,323370,2,84.0,24.8,54
AAA,2014J,328024,2,69.0,19.400000000000002,57
AAA,2014J,329659,2,58.0,17.400000000000002,35
AAA,2014J,330594,2,63.5,19.2,60
AAA,2014J,331358,2,84.0,25.200000000000003,69
AAA,2014J,332884,2,80.5,24.0,54
AAA,2014J,334441,2,35.5,10.100000000000001,53
AAA,2014J,335247,2,58.0,17.0,53
AAA,2014J,335764,2,86.5,26.0,-1
AAA,2014J,337748,1,44.0,4.4,18
AAA,2014J,338407,2,77.5,22.300000000000004,54
AAA,2014J,341876,2,68.5,20.6,54
AAA,2014J,342007,2,85.0,26.5,58
AAA,2014J,345440,2,75.0,22.200000000000003,54
AAA,2014J,345519,2,76.5,22.1,50
AAA,2014J,346118,2,73.5,22.0,54
AAA,2014J,348275,2,61.5,16.3,75
AAA,2014J,348807,2,78.0,23.3,69
AAA,2014J,350156,2,51.0,15.500000000000002,54
AAA,2014J,350939,2,68.5,19.7,53
AAA,2014J,351336,2,61.5,18.6,52
AAA,2014J,353665,2,66.0,18.9,53
AAA,2014J,354170,2,58.5,16.6,54
AAA,2014J,356170,2,70.0,21.6,54
AAA,2014J,358182,2,76.0,22.4,54
AAA,2014J,364957,2,53.0,16.1,54
AAA,2014J,369834,2,60.0,15.8,54
AAA,2014J,371710,2,85.5,25.6,54
AAA,2014J,373872,2,69.0,20.6,57
AAA,2014J,375260,2,74.5,22.5,61
AAA,2014J,375646,2,76.0,23.2,53
AAA,2014J,377546,2,84.0,25.3,53
AAA,2014J,381642,2,76.0,23.0,53
AAA,2014J,382095,2,75.5,22.1,53
AAA,2014J,383180,2,75.5,21.900000000000002,71
AAA,2014J,383600,2,69.5,20.0,53
AAA,2014J,383723,2,81.5,24.200000000000003,54
AAA,2014J,384203,2,71.5,21.0,53
AAA,2014J,384725,2,81.0,24.299999999999997,54
AAA,2014J,387533,1,68.0,6.800000000000001,19
AAA,2014J,388147,2,40.0,11.900000000000002,65
AAA,2014J,390890,2,77.5,23.5,-1
AAA,2014J,391249,2,85.0,25.5,64
AAA,2014J,396599,2,61.0,18.4,57
AAA,2014J,396655,2,34.5,11.9,75
AAA,2014J,398171,2,71.0,21.5,53
AAA,2014J,398349,2,82.5,24.5,53
AAA,2014J,400147,2,53.0,16.3,53
AAA,2014J,400682,2,54.0,16.1,54
AAA,2014J,401404,2,74.5,22.8,61
AAA,2014J,402204,2,65.0,19.8,54
AAA,2014J,402727,2,65.0,19.0,54
AAA,2014J,402961,2,62.5,18.200000000000003,51
AAA,2014J,404356,2,69.5,21.1,57
AAA,2014J,406671,2,82.5,24.4,54
AAA,2014J,406682,2,80.5,23.8,47
AAA,2014J,409100,2,70.0,21.200000000000003,53
AAA,2014J,409703,2,63.5,19.2,52
AAA,2014J,410092,2,65.5,19.400000000000002,54
AAA,2014J,411971,2,79.0,23.6,54
AAA,2014J,415969,2,59.5,17.1,-1
AAA,2014J,418731,2,53.0,15.100000000000001,62
AAA,2014J,421455,2,82.5,25.5,53
AAA,2014J,424577,2,61.5,17.700000000000003,53
AAA,2014J,429858,2,84.0,25.3,54
AAA,2014J,431025,2,55.0,16.0,53
AAA,2014J,439305,2,79.0,22.6,54
AAA,2014J,440319,2,76.5,22.3,61
AAA,2014J,442064,2,45.0,12.600000000000001,66
AAA,2014J,442132,2,60.0,18.400000000000002,53
AAA,2014J,446108,2,58.0,16.8,52
AAA,2014J,447481,2,40.5,13.5,59
AAA,2014J,468120,2,40.0,11.8,61
AAA,2014J,468694,2,64.5,19.700000000000003,54
AAA,2014J,470588,2,76.0,21.8,54
AAA,2014J,470982,2,60.0,18.0,54
AAA,2014J,476603,2,83.5,25.200000000000003,67
AAA,2014J,481022,2,48.5,15.4,54
AAA,2014J,483800,2,68.0,20.5,54
AAA,2014J,484897,2,76.0,23.0,66
AAA,2014J,485962,2,77.5,23.8,52
